Measured Pathway Number,Chassis Name,Target Name,Number of Pathways
measured_104,E.coli,rosmarinate,5
measured_111,E.coli,4-hydroxy 3-methoxybenzaldehyde,5
measured_20,E.coli,O-Acetyl-L-homoserine,4
measured_99,E.coli,miltiradiene,5
measured_36,S.cerevisiae,caffeine,5
measured_124,S.cerevisiae,"2,3-Butanediol",5
measured_71,E.coli,mesaconate,4
measured_82,E.coli,4-hydroxybutyric acid,5
measured_38,S.cerevisiae,caffeine,5
measured_108,S.cerevisiae,Geraniol,5
measured_45,E.coli,Pentadecane,5
measured_121,E.coli,Danshensu,4
measured_44,E.coli,pyrogallol,5
measured_64,S.cerevisiae,Resveratrol,5
measured_112,E.coli,4-Hydroxy 3-methoxybenzaldehyde,5
measured_67,E.coli,Astaxanthin,4
measured_113,E.coli,xylitol,5
measured_127,E.coli,Pinocembrin,4
measured_62,E.coli,"2,3-butanediol",5
measured_65,E.coli,beta-Carotene,5
measured_37,S.cerevisiae,caffeine,5
measured_59,P.putida,bisdemethoxycurcumin,5
measured_29,E.coli,mesaconic acid,4
measured_96,E.coli,malonic acid,5
measured_105,E.coli,rosmarinate,4
measured_79,E.coli,n-butanol,3
measured_98,S.cerevisiae,manoyl oxide,4
measured_128,E.coli,"(E,E)-Farnesol",5
measured_109,S.cerevisiae,Geraniol,5
measured_34,S.cerevisiae,theophylline,5
measured_30,E.coli,p-hydroxystyrene,5
measured_46,E.coli,salicylate,5
measured_81,E.coli,(2S)-Eriodictyol,5
measured_97,S.cerevisiae,monool,4
measured_31,S.cerevisiae,lycopene,5
measured_33,S.cerevisiae,theophylline,5
measured_25,E.coli,vanillin,5
measured_115,B.subtilis,Squalene,5
measured_39,S.cerevisiae,caffeine,5
measured_21,E.coli,Thebaine,5
measured_103,E.coli,trans-resveratrol,5
measured_122,E.coli,Danshensu,4
measured_129,E.coli,"(2Z,6E)-farnesol",5
measured_107,S.cerevisiae,sclareol,5
measured_42,E.coli,pyrogallol,4
measured_91,S.cerevisiae,ethylene,4
measured_95,E.coli,(S)-lactoyl-CoA,5
measured_83,E.coli,4-coumarate,5
measured_13,E.coli,"cis,cis-muconate",5
measured_43,E.coli,pyrogallol,5
measured_92,S.cerevisiae,ferulate,5
measured_117,E.coli,Acrylic acid,5
measured_75,E.coli,garbanzol,4
measured_132,S.cerevisiae,D-Xylonate,5
measured_126,E.coli,Glutarate,4
measured_101,E.coli,putrescine,5
measured_93,E.coli,Isobutanol,5
measured_26,E.coli,benzyl alcohol,5
measured_94,E.coli,Isobutanol,5
measured_86,E.coli,Propanoate,4
measured_52,E.coli,phenol,4
measured_24,E.coli,Glutaric acid,4
measured_78,E.coli,beta-alanine,5
measured_35,S.cerevisiae,caffeine,5
measured_77,E.coli,beta-alanine,5
measured_100,E.coli,Pinosylvin,5
measured_125,E.coli,5-Aminovaleric acid,5
measured_53,E.coli,3-hydroxypropanoate,5
measured_63,S.cerevisiae,Resveratrol,5
measured_80,E.coli,"1,3-diaminopropane",5
measured_66,E.coli,Astaxanthin,4
measured_76,S.cerevisiae,Reticuline,5
measured_61,E.coli,Acrylic acid,5
measured_47,E.coli,"cis,cis-muconate",5
measured_84,E.coli,4-hydroxycoumarin,5
measured_19,E.coli,"2,5-dihydroxybenzoic acid",5
measured_102,E.coli,pyrogallol,4
measured_116,E.coli,Tyrosyl,5
measured_88,E.coli,caffeic acid,5
measured_85,E.coli,acetone,5
